REF_DATE,GEO,DGUID,Age group,Sex,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,Mood disorder,Percent,Percent,239,units,0,v1806947596,2.1.3.11.4,15.1,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,Mood disorder,Percent,Percent,239,units,0,v1806947596,2.1.3.11.4,17.5,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,Anxiety disorder,Percent,Percent,239,units,0,v1806947603,2.1.3.12.4,13.6,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,Anxiety disorder,Percent,Percent,239,units,0,v1806947603,2.1.3.12.4,19.3,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,Anxiety disorder,Percent,Percent,239,units,0,v1806947603,2.1.3.12.4,,..,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806947624,2.1.3.15.4,19.3,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806947624,2.1.3.15.4,22.3,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806947624,2.1.3.15.4,21.3,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,Heavy drinking,Percent,Percent,239,units,0,v1806947652,2.1.3.19.4,17.2,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,Heavy drinking,Percent,Percent,239,units,0,v1806947652,2.1.3.19.4,18.1,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,Heavy drinking,Percent,Percent,239,units,0,v1806947652,2.1.3.19.4,16.5,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806947680,2.1.3.23.4,80.6,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806947680,2.1.3.23.4,76.2,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806947680,2.1.3.23.4,71.6,,,,1
