Fiscal year,Diagnosis category,Sex,fiscal_year,value,ci_low,ci_high,sheet_type
2018–2019,   Eating and feeding disorders,Male,Agegroup:15–17years–95%CI,5.0,5,10,Hospitalization
2018–2019,   Eating and feeding disorders,Total,Agegroup:15–17years–95%CI,40.0,40,47,Hospitalization
2018–2019,   Tic disorders,Female,Agegroup:15–17years–95%CI,1.0,1,3,Hospitalization
2018–2019,   Tic disorders,Male,Agegroup:15–17years–95%CI,0.0,0,2,Hospitalization
2018–2019,   Tic disorders,Total,Agegroup:15–17years–95%CI,1.0,1,2,Hospitalization
2018–2019,   ADHD,Female,Agegroup:15–17years–95%CI,20.0,20,28,Hospitalization
2018–2019,   ADHD,Male,Agegroup:15–17years–95%CI,25.0,25,34,Hospitalization
2018–2019,   ADHD,Total,Agegroup:15–17years–95%CI,24.0,24,30,Hospitalization
2019–2020,Neurocognitive disorders,Female,Agegroup:15–17years–95%CI,1.0,1,3,Hospitalization
2019–2020,Neurocognitive disorders,Male,Agegroup:15–17years–95%CI,0.0,0,2,Hospitalization
2019–2020,Neurocognitive disorders,Total,Agegroup:15–17years–95%CI,1.0,1,2,Hospitalization
2019–2020,Substance-related disorders,Female,Agegroup:15–17years–95%CI,65.0,65,79,Hospitalization
2019–2020,Substance-related disorders,Male,Agegroup:15–17years–95%CI,79.0,79,94,Hospitalization
2019–2020,Substance-related disorders,Total,Agegroup:15–17years–95%CI,75.0,75,85,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–95%CI,36.0,36,46,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–95%CI,66.0,66,80,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–95%CI,53.0,53,62,Hospitalization
2019–2020,Mood disorders,Female,Agegroup:15–17years–95%CI,432.0,432,466,Hospitalization
2019–2020,Mood disorders,Male,Agegroup:15–17years–95%CI,176.0,176,198,Hospitalization
2019–2020,Mood disorders,Total,Agegroup:15–17years–95%CI,305.0,305,325,Hospitalization
2019–2020,Anxiety disorders,Female,Agegroup:15–17years–95%CI,149.0,149,170,Hospitalization
2019–2020,Anxiety disorders,Male,Agegroup:15–17years–95%CI,50.0,50,62,Hospitalization
2019–2020,Anxiety disorders,Total,Agegroup:15–17years–95%CI,101.0,101,112,Hospitalization
2019–2020,Personality disorders,Female,Agegroup:15–17years–95%CI,83.0,83,98,Hospitalization
2019–2020,Personality disorders,Male,Agegroup:15–17years–95%CI,13.0,13,19,Hospitalization
2019–2020,Personality disorders,Total,Agegroup:15–17years–95%CI,48.0,48,56,Hospitalization
2019–2020,Other disorders,Female,Agegroup:15–17years–95%CI,474.0,474,510,Hospitalization
2019–2020,Other disorders,Male,Agegroup:15–17years–95%CI,229.0,229,254,Hospitalization
2019–2020,Other disorders,Total,Agegroup:15–17years–95%CI,353.0,353,375,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–95%CI,291.0,291,319,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–95%CI,114.0,114,131,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–95%CI,203.0,203,220,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–95%CI,27.0,27,36,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–95%CI,33.0,33,43,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–95%CI,31.0,31,38,Hospitalization
2019–2020,   Eating and feeding disorders,Female,Agegroup:15–17years–95%CI,74.0,74,89,Hospitalization
2019–2020,   Eating and feeding disorders,Male,Agegroup:15–17years–95%CI,4.0,4,8,Hospitalization
2019–2020,   Eating and feeding disorders,Total,Agegroup:15–17years–95%CI,39.0,39,47,Hospitalization
2019–2020,   Tic disorders,Female,Agegroup:15–17years–95%CI,1.0,1,3,Hospitalization
2019–2020,   Tic disorders,Male,Agegroup:15–17years–95%CI,0.0,0,2,Hospitalization
2019–2020,   Tic disorders,Total,Agegroup:15–17years–95%CI,1.0,1,2,Hospitalization
2019–2020,   ADHD,Female,Agegroup:15–17years–95%CI,19.0,19,26,Hospitalization
2019–2020,   ADHD,Male,Agegroup:15–17years–95%CI,24.0,24,32,Hospitalization
2019–2020,   ADHD,Total,Agegroup:15–17years–95%CI,22.0,22,28,Hospitalization
2020–2021,Neurocognitive disorders,Female,Agegroup:15–17years–95%CI,0.0,0,2,Hospitalization
2020–2021,Neurocognitive disorders,Male,Agegroup:15–17years–95%CI,0.0,0,2,Hospitalization
2020–2021,Neurocognitive disorders,Total,Agegroup:15–17years–95%CI,0.0,0,1,Hospitalization
2020–2021,Substance-related disorders,Female,Agegroup:15–17years–95%CI,58.0,58,70,Hospitalization
2020–2021,Substance-related disorders,Male,Agegroup:15–17years–95%CI,70.0,70,84,Hospitalization
2020–2021,Substance-related disorders,Total,Agegroup:15–17years–95%CI,66.0,66,75,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–95%CI,34.0,34,44,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–95%CI,63.0,63,76,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–95%CI,50.0,50,59,Hospitalization
2020–2021,Mood disorders,Female,Agegroup:15–17years–95%CI,372.0,372,403,Hospitalization
2020–2021,Mood disorders,Male,Agegroup:15–17years–95%CI,130.0,130,149,Hospitalization
2020–2021,Mood disorders,Total,Agegroup:15–17years–95%CI,251.0,251,269,Hospitalization
2020–2021,Anxiety disorders,Female,Agegroup:15–17years–95%CI,130.0,130,149,Hospitalization
2020–2021,Anxiety disorders,Male,Agegroup:15–17years–95%CI,42.0,42,53,Hospitalization
2020–2021,Anxiety disorders,Total,Agegroup:15–17years–95%CI,87.0,87,98,Hospitalization
2020–2021,Personality disorders,Female,Agegroup:15–17years–95%CI,75.0,75,90,Hospitalization
2020–2021,Personality disorders,Male,Agegroup:15–17years–95%CI,8.0,8,13,Hospitalization
2020–2021,Personality disorders,Total,Agegroup:15–17years–95%CI,42.0,42,49,Hospitalization
2020–2021,Other disorders,Female,Agegroup:15–17years–95%CI,442.0,442,476,Hospitalization
2020–2021,Other disorders,Male,Agegroup:15–17years–95%CI,168.0,168,189,Hospitalization
2020–2021,Other disorders,Total,Agegroup:15–17years–95%CI,305.0,305,325,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–95%CI,228.0,228,253,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–95%CI,77.0,77,91,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–95%CI,153.0,153,167,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–95%CI,18.0,18,25,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–95%CI,23.0,23,31,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–95%CI,22.0,22,27,Hospitalization
2020–2021,   Eating and feeding disorders,Female,Agegroup:15–17years–95%CI,111.0,111,128,Hospitalization
2020–2021,   Eating and feeding disorders,Male,Agegroup:15–17years–95%CI,7.0,7,12,Hospitalization
2020–2021,   Eating and feeding disorders,Total,Agegroup:15–17years–95%CI,58.0,58,67,Hospitalization
2020–2021,   Tic disorders,Female,Agegroup:15–17years–95%CI,2.0,2,5,Hospitalization
2020–2021,   Tic disorders,Male,Agegroup:15–17years–95%CI,0.0,0,2,Hospitalization
2020–2021,   Tic disorders,Total,Agegroup:15–17years–95%CI,2.0,2,3,Hospitalization
2020–2021,   ADHD,Female,Agegroup:15–17years–95%CI,19.0,19,26,Hospitalization
2020–2021,   ADHD,Male,Agegroup:15–17years–95%CI,22.0,22,30,Hospitalization
2020–2021,   ADHD,Total,Agegroup:15–17years–95%CI,22.0,22,27,Hospitalization
2021–2022,Neurocognitive disorders,Female,Agegroup:15–17years–95%CI,0.0,0,2,Hospitalization
2021–2022,Neurocognitive disorders,Male,Agegroup:15–17years–95%CI,1.0,1,3,Hospitalization
2021–2022,Neurocognitive disorders,Total,Agegroup:15–17years–95%CI,1.0,1,2,Hospitalization
2021–2022,Substance-related disorders,Female,Agegroup:15–17years–95%CI,51.0,51,63,Hospitalization
2021–2022,Substance-related disorders,Male,Agegroup:15–17years–95%CI,54.0,54,66,Hospitalization
2021–2022,Substance-related disorders,Total,Agegroup:15–17years–95%CI,54.0,54,63,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–95%CI,37.0,37,48,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–95%CI,63.0,63,76,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–95%CI,52.0,52,61,Hospitalization
2021–2022,Mood disorders,Female,Agegroup:15–17years–95%CI,437.0,437,471,Hospitalization
2021–2022,Mood disorders,Male,Agegroup:15–17years–95%CI,143.0,143,162,Hospitalization
2021–2022,Mood disorders,Total,Agegroup:15–17years–95%CI,289.0,289,308,Hospitalization
2021–2022,Anxiety disorders,Female,Agegroup:15–17years–95%CI,149.0,149,170,Hospitalization
2021–2022,Anxiety disorders,Male,Agegroup:15–17years–95%CI,40.0,40,51,Hospitalization
2021–2022,Anxiety disorders,Total,Agegroup:15–17years–95%CI,95.0,95,106,Hospitalization
2021–2022,Personality disorders,Female,Agegroup:15–17years–95%CI,107.0,107,124,Hospitalization
2021–2022,Personality disorders,Male,Agegroup:15–17years–95%CI,12.0,12,19,Hospitalization
2021–2022,Personality disorders,Total,Agegroup:15–17years–95%CI,59.0,59,68,Hospitalization
2021–2022,Other disorders,Female,Agegroup:15–17years–95%CI,529.0,529,566,Hospitalization
2021–2022,Other disorders,Male,Agegroup:15–17years–95%CI,188.0,188,210,Hospitalization
2021–2022,Other disorders,Total,Agegroup:15–17years–95%CI,357.0,357,379,Hospitalization
2021–2022,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–95%CI,283.0,283,310,Hospitalization
2021–2022,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–95%CI,89.0,89,104,Hospitalization
2021–2022,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–95%CI,185.0,185,201,Hospitalization
2021–2022,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–95%CI,22.0,22,31,Hospitalization
2021–2022,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–95%CI,26.0,26,35,Hospitalization
2021–2022,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–95%CI,26.0,26,32,Hospitalization
2021–2022,   Eating and feeding disorders,Female,Agegroup:15–17years–95%CI,128.0,128,147,Hospitalization
2021–2022,   Eating and feeding disorders,Male,Agegroup:15–17years–95%CI,8.0,8,13,Hospitalization
2021–2022,   Eating and feeding disorders,Total,Agegroup:15–17years–95%CI,67.0,67,77,Hospitalization
2021–2022,   Tic disorders,Female,Agegroup:15–17years–95%CI,2.0,2,5,Hospitalization
2021–2022,   Tic disorders,Male,Agegroup:15–17years–95%CI,0.0,0,1,Hospitalization
2021–2022,   Tic disorders,Total,Agegroup:15–17years–95%CI,1.0,1,2,Hospitalization
2021–2022,   ADHD,Female,Agegroup:15–17years–95%CI,24.0,24,33,Hospitalization
2021–2022,   ADHD,Male,Agegroup:15–17years–95%CI,23.0,23,31,Hospitalization
2021–2022,   ADHD,Total,Agegroup:15–17years–95%CI,25.0,25,31,Hospitalization
2022–2023,Neurocognitive disorders,Female,Agegroup:15–17years–95%CI,0.0,0,1,Hospitalization
2022–2023,Neurocognitive disorders,Male,Agegroup:15–17years–95%CI,1.0,1,3,Hospitalization
2022–2023,Neurocognitive disorders,Total,Agegroup:15–17years–95%CI,1.0,1,2,Hospitalization
2022–2023,Substance-related disorders,Female,Agegroup:15–17years–95%CI,57.0,57,69,Hospitalization
2022–2023,Substance-related disorders,Male,Agegroup:15–17years–95%CI,54.0,54,66,Hospitalization
2022–2023,Substance-related disorders,Total,Agegroup:15–17years–95%CI,57.0,57,66,Hospitalization
2022–2023,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–95%CI,36.0,36,46,Hospitalization
2022–2023,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–95%CI,56.0,56,69,Hospitalization
2022–2023,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–95%CI,48.0,48,56,Hospitalization
2022–2023,Mood disorders,Female,Agegroup:15–17years–95%CI,345.0,345,375,Hospitalization
2022–2023,Mood disorders,Male,Agegroup:15–17years–95%CI,124.0,124,142,Hospitalization
2022–2023,Mood disorders,Total,Agegroup:15–17years–95%CI,235.0,235,252,Hospitalization
2022–2023,Anxiety disorders,Female,Agegroup:15–17years–95%CI,116.0,116,134,Hospitalization
2022–2023,Anxiety disorders,Male,Agegroup:15–17years–95%CI,38.0,38,48,Hospitalization
2022–2023,Anxiety disorders,Total,Agegroup:15–17years–95%CI,78.0,78,88,Hospitalization
2022–2023,Personality disorders,Female,Agegroup:15–17years–95%CI,106.0,106,123,Hospitalization
2022–2023,Personality disorders,Male,Agegroup:15–17years–95%CI,14.0,14,20,Hospitalization
2022–2023,Personality disorders,Total,Agegroup:15–17years–95%CI,60.0,60,69,Hospitalization
2022–2023,Other disorders,Female,Agegroup:15–17years–95%CI,455.0,455,490,Hospitalization
2022–2023,Other disorders,Male,Agegroup:15–17years–95%CI,176.0,176,197,Hospitalization
2022–2023,Other disorders,Total,Agegroup:15–17years–95%CI,315.0,315,335,Hospitalization
2022–2023,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–95%CI,248.0,248,274,Hospitalization
2022–2023,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–95%CI,82.0,82,97,Hospitalization
2022–2023,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–95%CI,166.0,166,180,Hospitalization
2022–2023,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–95%CI,18.0,18,26,Hospitalization
2022–2023,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–95%CI,20.0,20,28,Hospitalization
2022–2023,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–95%CI,20.0,20,26,Hospitalization
2022–2023,   Eating and feeding disorders,Female,Agegroup:15–17years–95%CI,97.0,97,114,Hospitalization
2022–2023,   Eating and feeding disorders,Male,Agegroup:15–17years–95%CI,9.0,9,14,Hospitalization
2022–2023,   Eating and feeding disorders,Total,Agegroup:15–17years–95%CI,53.0,53,61,Hospitalization
2022–2023,   Tic disorders,Female,Agegroup:15–17years–95%CI,0.0,0,2,Hospitalization
2022–2023,   Tic disorders,Male,Agegroup:15–17years–95%CI,0.0,0,1,Hospitalization
2022–2023,   Tic disorders,Total,Agegroup:15–17years–95%CI,0.0,0,1,Hospitalization
2022–2023,   ADHD,Female,Agegroup:15–17years–95%CI,25.0,25,33,Hospitalization
2022–2023,   ADHD,Male,Agegroup:15–17years–95%CI,21.0,21,29,Hospitalization
2022–2023,   ADHD,Total,Agegroup:15–17years–95%CI,24.0,24,30,Hospitalization
2023–2024,Neurocognitive disorders,Female,Agegroup:15–17years–95%CI,1.0,1,3,Hospitalization
2023–2024,Neurocognitive disorders,Male,Agegroup:15–17years–95%CI,0.0,0,2,Hospitalization
2023–2024,Neurocognitive disorders,Total,Agegroup:15–17years–95%CI,1.0,1,2,Hospitalization
2023–2024,Substance-related disorders,Female,Agegroup:15–17years–95%CI,48.0,48,60,Hospitalization
2023–2024,Substance-related disorders,Male,Agegroup:15–17years–95%CI,51.0,51,62,Hospitalization
2023–2024,Substance-related disorders,Total,Agegroup:15–17years–95%CI,51.0,51,59,Hospitalization
2023–2024,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–95%CI,39.0,39,49,Hospitalization
2023–2024,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–95%CI,54.0,54,65,Hospitalization
2023–2024,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–95%CI,48.0,48,56,Hospitalization
2023–2024,Mood disorders,Female,Agegroup:15–17years–95%CI,278.0,278,305,Hospitalization
2023–2024,Mood disorders,Male,Agegroup:15–17years–95%CI,113.0,113,130,Hospitalization
2023–2024,Mood disorders,Total,Agegroup:15–17years–95%CI,196.0,196,212,Hospitalization
2023–2024,Anxiety disorders,Female,Agegroup:15–17years–95%CI,98.0,98,114,Hospitalization
2023–2024,Anxiety disorders,Male,Agegroup:15–17years–95%CI,26.0,26,35,Hospitalization
2023–2024,Anxiety disorders,Total,Agegroup:15–17years–95%CI,63.0,63,72,Hospitalization
2023–2024,Personality disorders,Female,Agegroup:15–17years–95%CI,89.0,89,104,Hospitalization
2023–2024,Personality disorders,Male,Agegroup:15–17years–95%CI,9.0,9,14,Hospitalization
2023–2024,Personality disorders,Total,Agegroup:15–17years–95%CI,49.0,49,57,Hospitalization
2023–2024,Other disorders,Female,Agegroup:15–17years–95%CI,422.0,422,455,Hospitalization
2023–2024,Other disorders,Male,Agegroup:15–17years–95%CI,183.0,183,204,Hospitalization
2023–2024,Other disorders,Total,Agegroup:15–17years–95%CI,303.0,303,322,Hospitalization
2023–2024,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–95%CI,227.0,227,251,Hospitalization
2023–2024,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–95%CI,81.0,81,96,Hospitalization
2023–2024,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–95%CI,155.0,155,168,Hospitalization
2023–2024,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–95%CI,23.0,23,31,Hospitalization
2023–2024,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–95%CI,18.0,18,26,Hospitalization
2023–2024,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–95%CI,22.0,22,27,Hospitalization
2023–2024,   Eating and feeding disorders,Female,Agegroup:15–17years–95%CI,97.0,97,112,Hospitalization
2023–2024,   Eating and feeding disorders,Male,Agegroup:15–17years–95%CI,10.0,10,15,Hospitalization
2023–2024,   Eating and feeding disorders,Total,Agegroup:15–17years–95%CI,53.0,53,61,Hospitalization
2023–2024,   Tic disorders,Female,Agegroup:15–17years–95%CI,0.0,0,2,Hospitalization
2023–2024,   Tic disorders,Male,Agegroup:15–17years–95%CI,0.0,0,1,Hospitalization
2023–2024,   Tic disorders,Total,Agegroup:15–17years–95%CI,0.0,0,1,Hospitalization
2023–2024,   ADHD,Female,Agegroup:15–17years–95%CI,25.0,25,33,Hospitalization
2023–2024,   ADHD,Male,Agegroup:15–17years–95%CI,26.0,26,34,Hospitalization
2023–2024,   ADHD,Total,Agegroup:15–17years–95%CI,26.0,26,32,Hospitalization
2018–2019,Neurocognitive disorders,Female,Agegroup:18–24years–Rate,2.2,,,Hospitalization
2018–2019,Neurocognitive disorders,Male,Agegroup:18–24years–Rate,2.7,,,Hospitalization
2018–2019,Neurocognitive disorders,Total,Agegroup:18–24years–Rate,2.4,,,Hospitalization
2018–2019,Substance-related disorders,Female,Agegroup:18–24years–Rate,109.1,,,Hospitalization
2018–2019,Substance-related disorders,Male,Agegroup:18–24years–Rate,179.9,,,Hospitalization
2018–2019,Substance-related disorders,Total,Agegroup:18–24years–Rate,145.9,,,Hospitalization
2018–2019,Schizophrenic and psychotic disorders,Female,Agegroup:18–24years–Rate,83.7,,,Hospitalization
2018–2019,Schizophrenic and psychotic disorders,Male,Agegroup:18–24years–Rate,227.4,,,Hospitalization
2018–2019,Schizophrenic and psychotic disorders,Total,Agegroup:18–24years–Rate,158.4,,,Hospitalization
2018–2019,Mood disorders,Female,Agegroup:18–24years–Rate,251.6,,,Hospitalization
2018–2019,Mood disorders,Male,Agegroup:18–24years–Rate,178.9,,,Hospitalization
2018–2019,Mood disorders,Total,Agegroup:18–24years–Rate,213.8,,,Hospitalization
2018–2019,Anxiety disorders,Female,Agegroup:18–24years–Rate,42.5,,,Hospitalization
2018–2019,Anxiety disorders,Male,Agegroup:18–24years–Rate,26.9,,,Hospitalization
2018–2019,Anxiety disorders,Total,Agegroup:18–24years–Rate,34.4,,,Hospitalization
2018–2019,Personality disorders,Female,Agegroup:18–24years–Rate,131.3,,,Hospitalization
2018–2019,Personality disorders,Male,Agegroup:18–24years–Rate,40.9,,,Hospitalization
2018–2019,Personality disorders,Total,Agegroup:18–24years–Rate,84.3,,,Hospitalization
2018–2019,Other disorders,Female,Agegroup:18–24years–Rate,185.7,,,Hospitalization
2018–2019,Other disorders,Male,Agegroup:18–24years–Rate,116.7,,,Hospitalization
2018–2019,Other disorders,Total,Agegroup:18–24years–Rate,149.8,,,Hospitalization
2018–2019,   Trauma- and stressor-related disorders,Female,Agegroup:18–24years–Rate,111.4,,,Hospitalization
2018–2019,   Trauma- and stressor-related disorders,Male,Agegroup:18–24years–Rate,68.0,,,Hospitalization
2018–2019,   Trauma- and stressor-related disorders,Total,Agegroup:18–24years–Rate,88.9,,,Hospitalization
2018–2019,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:18–24years–Rate,4.1,,,Hospitalization
2018–2019,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:18–24years–Rate,7.0,,,Hospitalization
2018–2019,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:18–24years–Rate,5.6,,,Hospitalization
2018–2019,   Eating and feeding disorders,Female,Agegroup:18–24years–Rate,17.7,,,Hospitalization
2018–2019,   Eating and feeding disorders,Male,Agegroup:18–24years–Rate,1.1,,,Hospitalization
2018–2019,   Eating and feeding disorders,Total,Agegroup:18–24years–Rate,9.1,,,Hospitalization
2018–2019,   Tic disorders,Female,Agegroup:18–24years–Rate,0.8,,,Hospitalization
2018–2019,   Tic disorders,Male,Agegroup:18–24years–Rate,0.3,,,Hospitalization
2018–2019,   Tic disorders,Total,Agegroup:18–24years–Rate,0.6,,,Hospitalization
2018–2019,   ADHD,Female,Agegroup:18–24years–Rate,1.1,,,Hospitalization
2018–2019,   ADHD,Male,Agegroup:18–24years–Rate,4.2,,,Hospitalization
2018–2019,   ADHD,Total,Agegroup:18–24years–Rate,2.7,,,Hospitalization
2019–2020,Neurocognitive disorders,Female,Agegroup:18–24years–Rate,1.2,,,Hospitalization
2019–2020,Neurocognitive disorders,Male,Agegroup:18–24years–Rate,2.7,,,Hospitalization
2019–2020,Neurocognitive disorders,Total,Agegroup:18–24years–Rate,2.0,,,Hospitalization
2019–2020,Substance-related disorders,Female,Agegroup:18–24years–Rate,106.9,,,Hospitalization
2019–2020,Substance-related disorders,Male,Agegroup:18–24years–Rate,175.5,,,Hospitalization
2019–2020,Substance-related disorders,Total,Agegroup:18–24years–Rate,142.5,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Female,Agegroup:18–24years–Rate,85.5,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Male,Agegroup:18–24years–Rate,216.9,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Total,Agegroup:18–24years–Rate,153.8,,,Hospitalization
2019–2020,Mood disorders,Female,Agegroup:18–24years–Rate,236.0,,,Hospitalization
2019–2020,Mood disorders,Male,Agegroup:18–24years–Rate,171.3,,,Hospitalization
2019–2020,Mood disorders,Total,Agegroup:18–24years–Rate,202.4,,,Hospitalization
2019–2020,Anxiety disorders,Female,Agegroup:18–24years–Rate,40.6,,,Hospitalization
2019–2020,Anxiety disorders,Male,Agegroup:18–24years–Rate,25.9,,,Hospitalization
2019–2020,Anxiety disorders,Total,Agegroup:18–24years–Rate,33.0,,,Hospitalization
2019–2020,Personality disorders,Female,Agegroup:18–24years–Rate,126.4,,,Hospitalization
2019–2020,Personality disorders,Male,Agegroup:18–24years–Rate,38.9,,,Hospitalization
2019–2020,Personality disorders,Total,Agegroup:18–24years–Rate,80.9,,,Hospitalization
2019–2020,Other disorders,Female,Agegroup:18–24years–Rate,182.4,,,Hospitalization
2019–2020,Other disorders,Male,Agegroup:18–24years–Rate,120.7,,,Hospitalization
2019–2020,Other disorders,Total,Agegroup:18–24years–Rate,150.4,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Female,Agegroup:18–24years–Rate,109.8,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Male,Agegroup:18–24years–Rate,70.9,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Total,Agegroup:18–24years–Rate,89.6,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:18–24years–Rate,4.4,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:18–24years–Rate,7.4,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:18–24years–Rate,6.0,,,Hospitalization
2019–2020,   Eating and feeding disorders,Female,Agegroup:18–24years–Rate,19.1,,,Hospitalization
2019–2020,   Eating and feeding disorders,Male,Agegroup:18–24years–Rate,1.0,,,Hospitalization
2019–2020,   Eating and feeding disorders,Total,Agegroup:18–24years–Rate,9.7,,,Hospitalization
2019–2020,   Tic disorders,Female,Agegroup:18–24years–Rate,0.1,,,Hospitalization
2019–2020,   Tic disorders,Male,Agegroup:18–24years–Rate,0.1,,,Hospitalization
2019–2020,   Tic disorders,Total,Agegroup:18–24years–Rate,0.1,,,Hospitalization
2019–2020,   ADHD,Female,Agegroup:18–24years–Rate,1.7,,,Hospitalization
2019–2020,   ADHD,Male,Agegroup:18–24years–Rate,4.2,,,Hospitalization
2019–2020,   ADHD,Total,Agegroup:18–24years–Rate,3.0,,,Hospitalization
2020–2021,Neurocognitive disorders,Female,Agegroup:18–24years–Rate,1.9,,,Hospitalization
2020–2021,Neurocognitive disorders,Male,Agegroup:18–24years–Rate,2.4,,,Hospitalization
2020–2021,Neurocognitive disorders,Total,Agegroup:18–24years–Rate,2.2,,,Hospitalization
2020–2021,Substance-related disorders,Female,Agegroup:18–24years–Rate,113.5,,,Hospitalization
2020–2021,Substance-related disorders,Male,Agegroup:18–24years–Rate,180.6,,,Hospitalization
2020–2021,Substance-related disorders,Total,Agegroup:18–24years–Rate,148.3,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Female,Agegroup:18–24years–Rate,95.7,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Male,Agegroup:18–24years–Rate,216.4,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Total,Agegroup:18–24years–Rate,158.2,,,Hospitalization
2020–2021,Mood disorders,Female,Agegroup:18–24years–Rate,221.1,,,Hospitalization
2020–2021,Mood disorders,Male,Agegroup:18–24years–Rate,145.0,,,Hospitalization
2020–2021,Mood disorders,Total,Agegroup:18–24years–Rate,181.7,,,Hospitalization
2020–2021,Anxiety disorders,Female,Agegroup:18–24years–Rate,40.1,,,Hospitalization
2020–2021,Anxiety disorders,Male,Agegroup:18–24years–Rate,23.8,,,Hospitalization
2020–2021,Anxiety disorders,Total,Agegroup:18–24years–Rate,31.6,,,Hospitalization
2020–2021,Personality disorders,Female,Agegroup:18–24years–Rate,128.4,,,Hospitalization
2020–2021,Personality disorders,Male,Agegroup:18–24years–Rate,37.9,,,Hospitalization
2020–2021,Personality disorders,Total,Agegroup:18–24years–Rate,81.5,,,Hospitalization
2020–2021,Other disorders,Female,Agegroup:18–24years–Rate,167.8,,,Hospitalization
2020–2021,Other disorders,Male,Agegroup:18–24years–Rate,100.7,,,Hospitalization
2020–2021,Other disorders,Total,Agegroup:18–24years–Rate,133.0,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Female,Agegroup:18–24years–Rate,104.5,,,Hospitalization
