ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time",201200.0,169900.0,232400.0,number,number,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, work",535700.0,499200.0,578000.0,number,number,
2016,2016,British Columbia,Both sexes,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",240700.0,229000.0,253000.0,number,number,
2016,2016,British Columbia,Both sexes,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",205800.0,190400.0,221300.0,number,number,
2016,2016,British Columbia,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, family",22800.0,15200.0,30600.0,number,number,E
2016,2016,British Columbia,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, none",23200.0,14700.0,32400.0,number,number,E
2016,2016,British Columbia,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, other",5900.0,2800.0,9700.0,number,number,E
2016,2016,British Columbia,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",162800.0,148000.0,179100.0,number,number,
2016,2016,British Columbia,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",39000.0,27500.0,51100.0,number,number,E
2016,2016,British Columbia,Both sexes,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent",911600.0,884200.0,939000.0,number,number,
2016,2016,British Columbia,Both sexes,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent",787900.0,755300.0,825100.0,number,number,
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, family",115400.0,93200.0,141900.0,number,number,
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, financial concerns",263600.0,227600.0,294000.0,number,number,
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, health",30100.0,17400.0,42200.0,number,number,E
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, none",38500.0,27000.0,54300.0,number,number,E
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, other",23300.0,15300.0,31500.0,number,number,E
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",131700.0,100700.0,164000.0,number,number,
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time",142100.0,112300.0,175300.0,number,number,
2016,2016,British Columbia,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, work",286300.0,254000.0,323800.0,number,number,
2016,2016,British Columbia,Both sexes,35 to 49 years,"Ability to handle the day-to-day demands in life, good or excellent",795600.0,765000.0,816300.0,number,number,
2016,2016,British Columbia,Both sexes,35 to 49 years,"Ability to handle unexpected and difficult problems, good or excellent",743900.0,712900.0,770400.0,number,number,
2016,2016,British Columbia,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, family",167800.0,138000.0,193100.0,number,number,
2016,2016,British Columbia,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, financial concerns",222300.0,194000.0,251800.0,number,number,
2016,2016,British Columbia,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, health",44900.0,31300.0,62600.0,number,number,E
2016,2016,British Columbia,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, none",36000.0,22200.0,48300.0,number,number,E
2016,2016,British Columbia,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, other",23000.0,13900.0,34700.0,number,number,E
2016,2016,British Columbia,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, time pressures/ not enough time",146700.0,115600.0,170700.0,number,number,
2016,2016,British Columbia,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, work",254800.0,228700.0,287500.0,number,number,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Ability to handle the day-to-day demands in life, good or excellent",862400.0,837400.0,889200.0,number,number,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Ability to handle unexpected and difficult problems, good or excellent",786900.0,754800.0,819900.0,number,number,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, family",205100.0,180600.0,231000.0,number,number,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, financial concerns",194700.0,168700.0,222800.0,number,number,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, health",72100.0,57100.0,91500.0,number,number,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, none",102100.0,77700.0,124200.0,number,number,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, other",37400.0,26100.0,50100.0,number,number,E
2016,2016,British Columbia,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, time pressures/ not enough time",65800.0,45800.0,84500.0,number,number,
2016,2016,British Columbia,Both sexes,50 to 64 years,"Main source of stress in day-to-day life, work",270800.0,238900.0,305800.0,number,number,
2016,2016,British Columbia,Both sexes,65 years and over,"Ability to handle the day-to-day demands in life, good or excellent",668400.0,646000.0,688500.0,number,number,
2016,2016,British Columbia,Both sexes,65 years and over,"Ability to handle unexpected and difficult problems, good or excellent",619400.0,596300.0,639800.0,number,number,
2016,2016,British Columbia,Both sexes,65 years and over,"Main source of stress in day-to-day life, family",214200.0,190500.0,233500.0,number,number,
2016,2016,British Columbia,Both sexes,65 years and over,"Main source of stress in day-to-day life, financial concerns",101000.0,84300.0,116300.0,number,number,
2016,2016,British Columbia,Both sexes,65 years and over,"Main source of stress in day-to-day life, health",127500.0,111500.0,147300.0,number,number,
2016,2016,British Columbia,Both sexes,65 years and over,"Main source of stress in day-to-day life, none",168100.0,149300.0,187900.0,number,number,
2016,2016,British Columbia,Both sexes,65 years and over,"Main source of stress in day-to-day life, other",45500.0,33200.0,57900.0,number,number,
2016,2016,British Columbia,Both sexes,65 years and over,"Main source of stress in day-to-day life, time pressures/ not enough time",37900.0,29300.0,47000.0,number,number,
2016,2016,British Columbia,Both sexes,65 years and over,"Main source of stress in day-to-day life, work",34600.0,25500.0,44100.0,number,number,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent",3478700.0,3420100.0,3528600.0,number,number,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent",3143900.0,3077400.0,3204300.0,number,number,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, family",725300.0,677000.0,776000.0,number,number,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns",783700.0,729000.0,832100.0,number,number,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, health",279300.0,249300.0,317000.0,number,number,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, none",367900.0,332200.0,404400.0,number,number,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, other",135100.0,115200.0,159000.0,number,number,
2016,2016,British Columbia,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)",294600.0,259900.0,330100.0,number,number,
