ref_date_raw,start_year,geo,sex,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2021-10,2021,Atlantic Region,"Total, all persons",Excellent or very good perceived health,985000.0,929000.0,1040000.0,number,number,
2021-10,2021,Atlantic Region,"Total, all persons",Fair or poor perceived health,377000.0,333000.0,422000.0,number,number,
2021-10,2021,Atlantic Region,"Total, all persons",Good perceived health,711000.0,657000.0,764000.0,number,number,
2021-10,2021,Atlantic Region,Women,Excellent or very good perceived health,534000.0,495000.0,572000.0,number,number,
2021-10,2021,Atlantic Region,Women,Fair or poor perceived health,174000.0,145000.0,203000.0,number,number,
2021-10,2021,Atlantic Region,Women,Good perceived health,342000.0,306000.0,379000.0,number,number,
2021-10,2021,British Columbia,Men,Excellent or very good perceived health,1093000.0,979000.0,1207000.0,number,number,
2021-10,2021,British Columbia,Men,Fair or poor perceived health,366000.0,281000.0,451000.0,number,number,E
2021-10,2021,British Columbia,Men,Good perceived health,712000.0,601000.0,822000.0,number,number,
2021-10,2021,British Columbia,"Total, all persons",Excellent or very good perceived health,2215000.0,2059000.0,2371000.0,number,number,
2021-10,2021,British Columbia,"Total, all persons",Fair or poor perceived health,752000.0,635000.0,868000.0,number,number,
2021-10,2021,British Columbia,"Total, all persons",Good perceived health,1422000.0,1273000.0,1571000.0,number,number,
2021-10,2021,British Columbia,Women,Excellent or very good perceived health,1122000.0,1013000.0,1232000.0,number,number,
2021-10,2021,British Columbia,Women,Fair or poor perceived health,386000.0,305000.0,467000.0,number,number,E
2021-10,2021,British Columbia,Women,Good perceived health,710000.0,608000.0,813000.0,number,number,
2021-10,2021,Canada (excluding territories),Men,Excellent or very good perceived health,8237000.0,7937000.0,8538000.0,number,number,
2021-10,2021,Canada (excluding territories),Men,Fair or poor perceived health,2277000.0,2065000.0,2489000.0,number,number,
2021-10,2021,Canada (excluding territories),Men,Good perceived health,5113000.0,4837000.0,5389000.0,number,number,
2021-10,2021,Canada (excluding territories),"Total, all persons",Excellent or very good perceived health,16395000.0,16006000.0,16785000.0,number,number,
2021-10,2021,Canada (excluding territories),"Total, all persons",Fair or poor perceived health,4749000.0,4467000.0,5031000.0,number,number,
2021-10,2021,Canada (excluding territories),"Total, all persons",Good perceived health,10344000.0,9980000.0,10708000.0,number,number,
2021-10,2021,Canada (excluding territories),Women,Excellent or very good perceived health,8158000.0,7883000.0,8433000.0,number,number,
2021-10,2021,Canada (excluding territories),Women,Fair or poor perceived health,2472000.0,2268000.0,2676000.0,number,number,
2021-10,2021,Canada (excluding territories),Women,Good perceived health,5231000.0,4984000.0,5477000.0,number,number,
2021-10,2021,Manitoba,Men,Excellent or very good perceived health,267000.0,225000.0,308000.0,number,number,E
2021-10,2021,Manitoba,Men,Good perceived health,194000.0,154000.0,235000.0,number,number,E
2021-10,2021,Manitoba,"Total, all persons",Excellent or very good perceived health,526000.0,469000.0,584000.0,number,number,
2021-10,2021,Manitoba,"Total, all persons",Fair or poor perceived health,134000.0,99000.0,169000.0,number,number,E
2021-10,2021,Manitoba,"Total, all persons",Good perceived health,396000.0,340000.0,451000.0,number,number,
2021-10,2021,Manitoba,Women,Excellent or very good perceived health,260000.0,219000.0,300000.0,number,number,
2021-10,2021,Manitoba,Women,Good perceived health,201000.0,163000.0,239000.0,number,number,E
2021-10,2021,New Brunswick,Men,Excellent or very good perceived health,148000.0,126000.0,169000.0,number,number,
2021-10,2021,New Brunswick,Men,Fair or poor perceived health,65000.0,48000.0,82000.0,number,number,E
2021-10,2021,New Brunswick,Men,Good perceived health,112000.0,91000.0,133000.0,number,number,E
2021-10,2021,New Brunswick,"Total, all persons",Excellent or very good perceived health,312000.0,282000.0,341000.0,number,number,
2021-10,2021,New Brunswick,"Total, all persons",Fair or poor perceived health,117000.0,95000.0,139000.0,number,number,E
2021-10,2021,New Brunswick,"Total, all persons",Good perceived health,229000.0,200000.0,258000.0,number,number,
2021-10,2021,New Brunswick,Women,Excellent or very good perceived health,164000.0,143000.0,185000.0,number,number,
2021-10,2021,New Brunswick,Women,Good perceived health,117000.0,96000.0,137000.0,number,number,E
2021-10,2021,Newfoundland and Labrador,Men,Excellent or very good perceived health,112000.0,95000.0,128000.0,number,number,E
2021-10,2021,Newfoundland and Labrador,Men,Good perceived health,78000.0,60000.0,95000.0,number,number,E
2021-10,2021,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived health,231000.0,208000.0,254000.0,number,number,
2021-10,2021,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived health,74000.0,57000.0,91000.0,number,number,E
2021-10,2021,Newfoundland and Labrador,"Total, all persons",Good perceived health,141000.0,119000.0,163000.0,number,number,
2021-10,2021,Newfoundland and Labrador,Women,Excellent or very good perceived health,119000.0,103000.0,135000.0,number,number,
2021-10,2021,Newfoundland and Labrador,Women,Good perceived health,63000.0,49000.0,77000.0,number,number,E
2021-10,2021,Nova Scotia,Men,Excellent or very good perceived health,155000.0,126000.0,184000.0,number,number,E
2021-10,2021,Nova Scotia,Men,Good perceived health,159000.0,129000.0,189000.0,number,number,E
2021-10,2021,Nova Scotia,"Total, all persons",Excellent or very good perceived health,366000.0,326000.0,406000.0,number,number,
2021-10,2021,Nova Scotia,"Total, all persons",Fair or poor perceived health,169000.0,137000.0,201000.0,number,number,E
2021-10,2021,Nova Scotia,"Total, all persons",Good perceived health,298000.0,260000.0,337000.0,number,number,
2021-10,2021,Nova Scotia,Women,Excellent or very good perceived health,211000.0,184000.0,239000.0,number,number,
2021-10,2021,Nova Scotia,Women,Good perceived health,140000.0,113000.0,166000.0,number,number,E
